restaurant,price,food,decor,service,geo
Rainbow Grill,65,19,23,18,west
Torre di Pisa,47,19,21,17,west
San Domenico,65,23,22,22,west
Trionfo,45,20,17,21,west
ViceVersa,46,22,22,20,west
Artusi,44,20,19,20,west
Ciao Europa,40,19,19,18,west
Limoncello,46,19,18,20,west
Puttanesca,32,19,15,17,west
Rino Trattoria,23,20,14,16,west
Sette MoMA,42,18,21,17,west
Trattoria Del Sogno,29,21,18,19,west
Castellano,49,21,18,20,west
Circo Osteria del,53,22,24,21,west
Giovanni,45,22,19,21,west
Palio,63,22,25,22,west
Remi,52,23,23,21,west
Tuscan Square,40,19,20,17,west
Vago Ristorante,45,22,21,23,west
Bello,38,21,17,20,west
Caffe Cielo,38,18,17,18,west
Da Tommaso,42,21,16,20,west
Il Tinello,57,23,19,23,west
Nocello,39,21,19,20,west
Tino's,43,20,18,18,west
Mangia e Bevi,29,17,14,16,west
Patsy's,42,20,16,19,west
Gabriel's,50,22,19,21,west
Pappardella,34,18,16,17,west
Ernie's,31,16,15,16,west
Pomodoro Rosso,31,20,17,19,west
Scaletta,46,21,19,22,west
"La Grolla, Ristorante",42,21,15,19,west
"Sambuca, Trattoria",31,19,16,18,west
Baci,31,17,15,16,west
Puccini,26,20,16,17,west
Bella Luna,31,18,16,17,west
M�tisse,38,22,17,21,west
Gennaro,34,24,10,16,west
