store_id,chain,comp_owned,state,region,NJShore,num_callbacks,num_ft_employees,num_pt_employees,num_managers,starting_wage,months_to_first_raise,first_raise_amt,bonus,pct_affected,employee_benefit,opening_hour,hours_open,price_soda,price_fries,price_entree,num_registers,num_reg_11am,type_2nd_intvw,status_2nd_intvw,date_2nd_intvw,num_callbacks_2,num_ft_employees_2,num_pt_employees_2,num_managers_2,starting_wage_2,months_to_first_raise_2,first_raise_amt_2,special,employee_benefit_2,opening_hour_2,hours_open_2,price_soda_2,price_fries_2,price_entree_2,num_registers_2,num_reg_11am_2
355,Wendys,0,NJ,Central NJ,0,0,2,17,3,4.87,26,0.15,1,100,free meals,10.5,11.5,0.95,0.92,0.95,2,2,phone,completed,12/25/74,NA,3,17,2,NA,NA,NA,0,free meals,10.5,11.5,1,0.85,0.89,2,2
264,Burger King,0,NJ,Southern NJ,0,5,0,10,2,4.25,13,0.25,1,60,free and reduced price meals,7,15,1.02,0.88,0.91,2,2,personal,completed,8/21/02,2,0,23,5,5.05,14,NA,0,reduced price meals,7,16,1.05,1.11,0.94,3,3
171,Burger King,1,NJ,Northern NJ,1,0,2,32,3,4.25,8,0.25,0,NA,reduced price meals,7,16,1.09,0.95,1.04,3,3,phone,completed,2/28/74,NA,10,12.5,5,5.05,4,0.1,1,reduced price meals,7,16,1.18,1.04,1.03,3,3
427,Wendys,0,NJ,Northern NJ,0,3,7,8,3,4.75,13,0.1,0,40,reduced price meals,10.5,12.5,1.06,0.98,2.03,2,2,personal,completed,6/17/03,4,0,35,3,5.05,NA,NA,1,reduced price meals,10.5,12.5,1.11,1.09,2.07,2,2
277,KFC,1,NJ,Southern NJ,0,0,2,15,3,4.25,9,0.25,0,10,free and reduced price meals,11,10,0.95,0.85,2.34,3,3,phone,completed,4/4/75,1,1,14,3,5.05,NA,NA,0,free meals,11,10,0.94,0.73,2.32,3,3
506,KFC,1,PA,Southeastern PA,0,0,3,7,2,NA,13,0.37,0,30,reduced price meals,11,10,0.95,0.74,2.33,3,3,phone,completed,9/16/74,NA,3,7,4,5,19,0.25,NA,free meals,11,11,0.95,0.74,2.33,4,3
176,Burger King,0,NJ,Northern NJ,0,0,15,21,4,4.62,13,0.12,0,20,free meals,7,16,1.06,NA,1.05,4,4,phone,completed,1/29/76,1,20,27.5,4,5.05,NA,NA,0,reduced price meals,7,16,1.04,1.06,NA,NA,NA
360,Burger King,0,NJ,Southern NJ,0,0,3,25,2,4.25,13,0.15,1,100,reduced price meals,7,15,1.06,0.84,0.89,3,3,phone,completed,10/21/75,NA,5,32,7,5.05,4,0.25,0,reduced price meals,7,16,1.05,0.87,0.82,3,3
412,KFC,0,NJ,Central NJ,0,0,0,17,2,4.5,NA,0.37,0,18,free meals,11,11,1.06,1.02,2.34,5,2,phone,completed,9/16/74,NA,0,13,2,5.05,NA,NA,0,free meals,11,11,1.15,1.05,2.64,5,3
210,Wendys,1,NJ,Northern NJ,0,3,0,19,2,4.5,13,0.17,1,90,reduced price meals,10.5,11.5,1.06,0.95,0.95,4,2,phone,completed,12/25/74,NA,0,14,3,5.05,13,0.2,0,reduced price meals,10,11,NA,NA,NA,4,NA
169,Burger King,1,NJ,Northern NJ,0,0,12,33,4,5,13,0.25,0,50,reduced price meals,7,16,1.1,0.94,1.04,3,3,phone,completed,10/21/75,NA,20,6,4,5.05,52,0.15,0,reduced price meals,7,16,1.11,1.05,1.05,3,3
424,KFC,1,NJ,Northern NJ,0,0,3.5,6.5,3,4.75,13,0.25,0,45,free meals,11,11,1.06,0.85,2.34,5,3,phone,completed,1/29/76,1,12,3,4,5.25,19,0.5,0,free meals,11,14,1.05,0.94,2.32,5,3
215,Burger King,0,NJ,Southern NJ,0,0,10,10,3,4.5,13,0.2,0,100,reduced price meals,7,16,1.06,0.89,0.91,3,3,phone,completed,2/28/74,NA,20,10,3,5.05,26,0.15,0,free and reduced price meals,7,16,0.93,0.84,0.93,3,3
222,Roy Rogers,1,NJ,Southern NJ,0,3,2,24,3,4.25,13,0.25,0,75,reduced price meals,9,12.5,1.12,0.85,1.06,3,1,phone,completed,6/8/74,NA,2,15,3,5.05,26,0.2,0,reduced price meals,10,11.5,1.01,1.01,0.89,3,1
432,Burger King,0,PA,Southeastern PA,0,0,20,55,5,4.5,17,0.15,0,75,reduced price meals,7,16,0.94,0.74,0.79,4,3,phone,completed,5/4/73,1,25,10,4,5.05,26,0.2,0,reduced price meals,7,16,0.94,0.74,0.79,3,1
39,Burger King,0,PA,Southeastern PA,0,0,1,32,2,4.25,8,NA,0,100,reduced price meals,6.5,17.5,1.03,0.73,0.52,4,2,phone,completed,1/29/76,NA,5,15,3,NA,NA,NA,0,reduced price meals,6.5,16.5,1.05,NA,0.63,4,2
352,Roy Rogers,1,NJ,Northern NJ,0,0,0,19,4,4.75,8,0.25,0,50,reduced price meals,10,11.5,1.12,0.91,0.99,2,2,personal,closed (mall fire),2/6/05,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.95,0.95,0.89,NA,NA
397,Roy Rogers,1,NJ,Northern NJ,0,2,4,28,3,4.25,52,0.62,0,85,reduced price meals,6,17,1.12,1.02,1.06,4,3,personal,completed,6/21/06,9,6,15,3,5.05,52,0.24,0,reduced price meals,6,17,1.17,1.06,2.11,4,3
14,KFC,0,NJ,Central NJ,0,0,10,8,2,5.12,6,0.25,0,0,free and reduced price meals,11,11,1.06,0.85,2.49,6,5,phone,completed,10/16/72,NA,4,17,3,5.05,13,0.25,1,reduced price meals,11,11,1.05,0.94,2.6,6,3
185,KFC,0,NJ,Central NJ,1,0,2,9,3,4.5,13,0.2,0,100,reduced price meals,11,10.5,1.06,1.01,2.66,4,4,phone,completed,6/8/74,NA,2,6,3,5.05,26,0.25,1,free meals,11,10.5,1.05,1,2.75,3,3
17,Roy Rogers,0,NJ,Central NJ,0,0,0,20,4,4.37,13,0.25,0,60,reduced price meals,6,17,1.06,1,2.02,6,5,phone,completed,10/21/75,1,4,35,4,5.05,13,0.2,0,reduced price meals,6,17,1.05,0.94,0.95,6,5
125,KFC,0,NJ,Central NJ,0,0,15,0,4,4.5,26,0.25,0,100,free meals,10,12.5,0.91,0.85,2.34,3,2,phone,completed,4/4/75,NA,0,15,2,5.05,52,0.4,0,free meals,10,12,1.01,1.01,2.49,4,3
351,Roy Rogers,1,NJ,Southern NJ,0,1,2,27.5,3,4.25,NA,NA,0,NA,reduced price meals,6,16,1.02,0.9,0.95,4,3,phone,completed,1/29/76,2,10,20,4,5.05,52,0.53,0,reduced price meals,6,16,1.01,1.01,0.73,4,2
409,Burger King,0,NJ,Northern NJ,0,0,3,60,2,5,39,NA,0,0,free meals,7,15,1.19,0.87,0.95,3,3,phone,completed,1/29/76,2,0,15,3,5.05,NA,NA,0,free meals,7,15,1.09,1.04,1.01,3,3
324,Roy Rogers,0,NJ,Southern NJ,0,2,20,46,5,5.25,26,0.2,0,0,reduced price meals,0,24,1.18,1.06,NA,5,2,personal,completed,9/25/03,4,22,39,5,5.05,52,0.25,1,reduced price meals,0,24,1.22,1.05,1.05,5,2
31,KFC,0,NJ,Central NJ,0,2,4,16,3,5.25,13,0.15,0,0,reduced price meals,11,11,1.03,1.06,2.56,4,3,phone,completed,4/4/75,3,6,15,5,5.05,26,0.25,0,free meals,10.5,12.5,1,1.05,2.64,4,4
108,Burger King,0,NJ,Northern NJ,0,2,13.5,15,4,4.25,26,0.37,1,6,free meals,7,17,1.27,1.01,1.06,3,3,phone,completed,10/21/75,NA,11,24,5,5.05,26,0.15,0,free meals,7,17,1.37,1.02,1.05,3,3
182,KFC,0,NJ,Southern NJ,1,0,3,15,3,4.5,4,0.25,1,100,reduced price meals,11,11,1.06,1.01,2.66,4,3,phone,completed,6/8/74,NA,0,15,3,5.05,26,0.25,0,reduced price meals,11.5,10,1.05,1,2.73,4,3
399,Roy Rogers,1,NJ,Northern NJ,0,0,13,8,3,4.87,18,0.3,1,NA,reduced price meals,6,17,1.27,1.04,1.12,7,3,phone,completed,6/8/74,NA,18,18,4,5.05,26,0.23,0,reduced price meals,7,16,1.26,1.08,1.05,7,4
423,KFC,1,NJ,Northern NJ,0,3,2,10,2,4.95,13,0.5,1,33,free meals,11,12,1.06,0.85,2.34,3,2,phone,completed,4/4/75,1,19,3.5,3,5.25,13,0.5,0,free meals,11,11,1.05,0.84,2.32,3,2
87,Burger King,0,NJ,Central NJ,1,0,0,15,NA,4.5,26,NA,0,NA,reduced price meals,7,15,1.06,0.86,1.02,3,3,phone,completed,2/28/74,NA,0,30,5,5.05,41,0.18,0,free and reduced price meals,7,15,1,0.99,1.04,3,3
340,Burger King,0,NJ,Southern NJ,0,3,6,30,3,4.25,26,0.1,0,30,reduced price meals,7.5,14.5,0.96,0.95,0.85,5,4,phone,completed,10/21/75,NA,15,17,2,5.05,8,0.15,0,reduced price meals,6,16,1.05,0.84,0.84,5,4
183,KFC,0,NJ,Northern NJ,0,0,12,4,4,4.62,20,0.33,0,100,free and reduced price meals,11,11,1.06,1.01,2.66,4,3,phone,completed,5/8/76,4,15,10,2,5.05,13,0.25,0,reduced price meals,11,10.5,1.05,1,2.75,4,3
97,KFC,0,NJ,Central NJ,0,2,0,12,4,4.25,13,0.25,1,58,reduced price meals,11,10,1.02,0.75,2.56,3,2,phone,completed,9/16/74,NA,2.5,11,3,5.05,13,0.3,0,reduced price meals,11,10,1.05,0.8,2.54,3,2
384,Burger King,0,NJ,Northern NJ,0,3,NA,NA,3,4.65,26,0.25,0,NA,reduced price meals,7,16,1.06,0.95,0.95,3,2,phone,completed,5/4/73,NA,0,30,3,5.05,26,0.1,0,free and reduced price meals,7,16,1.05,1.05,0.89,3,2
311,Wendys,0,NJ,Northern NJ,0,2,0,30,4,NA,26,0.32,1,78,reduced price meals,10.5,11.5,0.91,0.91,1.06,2,2,phone,completed,12/25/74,NA,35,30,3,5.05,NA,0.2,0,reduced price meals,10.5,11.5,1.01,0.95,1.05,2,2
379,Burger King,0,NJ,Northern NJ,0,0,20,12,4,4.62,26,0.17,0,30,free and reduced price meals,7,16,1.06,1.06,0.95,3,2,phone,completed,1/29/76,1,28,6,3,5.05,52,0.15,1,free meals,7,16,1.06,1.06,1.06,3,2
1,Burger King,0,NJ,Central NJ,0,0,16,30,4,4.5,NA,0.25,0,80,free and reduced price meals,7,16,0.93,0.83,0.85,4,3,phone,completed,10/16/72,NA,20,40,4,5.05,NA,NA,0,reduced price meals,7,16,1.05,0.79,0.9,4,3
157,KFC,0,NJ,Northern NJ,0,0,10,5,3,5,26,0.25,0,0,free meals,10.5,12,0.91,0.85,2.34,3,3,phone,completed,1/29/76,2,12,8,2,5.5,26,0.25,0,free meals,10.5,11,0.95,0.83,2.47,2,2
285,Roy Rogers,1,NJ,Southern NJ,0,1,3,25,3,4.75,4,0.25,0,70,reduced price meals,6,16,1.02,0.91,0.8,4,2,phone,completed,9/16/74,NA,3,15,3,5.05,52,0.13,0,reduced price meals,6,16,1.01,1.01,1.01,4,2
495,Roy Rogers,0,PA,Northeastern PA,0,2,4,28,3,5,26,0.25,0,2,reduced price meals,7,15,1.05,1.01,0.94,3,3,phone,completed,6/8/74,NA,8,20,3,5,26,0.25,1,reduced price meals,6,16,0.96,1.01,1.01,5,3
203,Burger King,0,NJ,Northern NJ,0,2,9,12,2,4.25,26,0.15,0,50,reduced price meals,7,17,1.06,0.95,0.95,3,3,phone,completed,2/28/74,NA,4,34,3,5.05,26,0.18,0,none,7,17,1.05,0.95,0.95,3,2
77,Roy Rogers,0,NJ,Northern NJ,0,0,6,50,4,5,4,0.15,0,100,reduced price meals,6,19,1.18,1.07,1.17,6,5,phone,completed,8/16/76,4,4,60,3,5.05,52,0.15,0,reduced price meals,6,19,1.06,1.06,1.05,6,2
11,Burger King,0,NJ,Central NJ,0,2,10,30,4,4.25,26,0.1,0,80,reduced price meals,7,16,1.09,0.89,0.91,3,3,phone,completed,1/29/76,1,12,24,3,5.05,NA,NA,0,reduced price meals,7,16,1.05,0.87,0.94,3,2
445,Burger King,0,PA,Northeastern PA,0,0,50,35,3,5,26,0.1,0,0,reduced price meals,6,18,1.04,0.88,0.94,3,3,phone,completed,5/4/73,NA,15,18,5,4.75,26,0.15,0,reduced price meals,6,18,1.04,0.86,0.94,3,3
320,KFC,0,NJ,Southern NJ,1,0,5,9,2,5,13,0.12,1,0,reduced price meals,11,12,1.12,0.8,2.45,4,4,phone,completed,12/25/74,NA,4,6,3,5.05,NA,NA,0,free meals,11,11,1.05,0.84,2.43,4,3
105,Burger King,0,NJ,Northern NJ,0,2,0,40,4,4.25,10,NA,0,50,reduced price meals,6.5,16.5,0.96,1,1.03,4,2,phone,completed,2/28/74,NA,0,45,4,5.05,13,0.25,0,reduced price meals,6.5,16.5,1.05,0.99,1.16,4,3
161,Roy Rogers,1,NJ,Northern NJ,0,0,8,25,4,5,19,0.15,0,2,reduced price meals,6,17,1.12,1.02,1.06,7,3,phone,completed,8/16/76,4,26,12,4,5.05,NA,NA,0,reduced price meals,6,17,1.11,1.06,1.05,7,5
95,KFC,0,NJ,Central NJ,0,1,18,3,4,4.25,26,0.27,0,40,free meals,11,10,1.06,0.8,2.56,4,3,phone,completed,9/16/74,NA,0,14,3,5.05,13,0.25,0,free meals,11,10,1.05,0.75,2.53,3,3
102,Roy Rogers,0,NJ,Southern NJ,0,2,12,13,3,4.4,52,0.2,0,15,reduced price meals,7,16,1.06,0.91,1.07,6,4,phone,completed,12/25/74,NA,0,27,2,5.05,52,0.25,0,reduced price meals,7,15,1.07,1.01,1.05,5,5
362,KFC,0,NJ,Southern NJ,0,0,6,13,NA,4.25,13,0.66,1,100,reduced price meals,10.5,12.5,1.06,0.81,2.45,5,3,phone,completed,9/16/74,NA,24,4,4,5.05,13,0.18,0,free meals,10.5,12.5,1.05,0.84,2.43,5,3
438,KFC,0,PA,Southeastern PA,0,2,0,9,3,4.25,52,0.07,0,11,reduced price meals,11,8,1.01,0.84,2.43,2,1,phone,completed,9/16/74,NA,2,9,3,4.25,52,0.05,0,reduced price meals,11,9,0.95,0.84,2.43,2,1
478,Burger King,0,PA,Southeastern PA,0,0,32,25,4,4.5,13,0.22,0,30,reduced price meals,6,19,0.97,0.86,0.91,3,3,personal,completed,10/29/04,1,8,30,4,4.35,13,0.25,0,reduced price meals,6,18,1.01,0.88,0.91,3,2
503,Burger King,0,PA,Northeastern PA,0,2,7.5,14,4,4.75,NA,0.12,0,100,reduced price meals,6.5,16.5,0.97,0.84,0.91,3,3,phone,completed,5/4/73,NA,35,6.5,3,4.5,13,0.15,0,reduced price meals,6,18,0.97,0.84,1,3,3
60,Wendys,0,PA,Southeastern PA,0,0,10,20,5,4.25,4,0.1,0,75,free meals,10.5,11.5,0.94,0.74,0.86,2,2,phone,completed,1/29/76,2,10,20,5,4.25,4,0.25,0,free meals,10,12,0.98,0.84,0.86,2,2
321,KFC,0,NJ,Southern NJ,1,0,3,14,3,5,NA,0.25,0,10,reduced price meals,10.5,12.5,1.12,0.85,2.45,4,2,phone,completed,4/4/75,2,4,11,2,5.05,13,0.15,0,free meals,11,12,1.05,0.84,2.43,4,3
366,Roy Rogers,0,NJ,Southern NJ,0,3,2,17,3,4.5,13,0.25,0,50,reduced price meals,10.5,11.5,1.02,0.91,0.63,5,4,phone,completed,5/8/76,1,1,19,4,5.05,13,0.25,0,reduced price meals,10.5,11.5,1.01,0.9,0.63,4,3
138,Roy Rogers,1,NJ,Northern NJ,0,0,4.5,25.5,2,NA,NA,NA,1,NA,reduced price meals,10,11.5,1.12,1.07,1.06,6,NA,phone,completed,10/21/75,NA,2,33,3,5.05,26,0.2,0,reduced price meals,10,11.5,1.21,1.01,0.94,6,4
377,Burger King,0,NJ,Northern NJ,0,3,12,6,3,4.25,26,0.15,1,90,reduced price meals,8,14,1.06,0.95,0.95,3,2,phone,completed,5/4/73,NA,11,12,3,5.05,26,0.2,0,reduced price meals,8,14,1.05,0.95,0.94,3,1
40,Burger King,0,PA,Southeastern PA,0,0,10,20,7,4.25,4,0.15,0,100,reduced price meals,6.5,16.5,0.98,0.82,0.8,3,3,phone,completed,2/28/74,NA,7,25,6,4.25,8,0.13,0,reduced price meals,6.5,17.5,0.98,0.82,0.87,3,2
483,KFC,1,PA,Northeastern PA,0,0,1,15,1,5,13,0.07,1,0,reduced price meals,11,10,0.94,0.73,2.32,4,3,phone,completed,9/16/74,NA,4,13,3,4.75,13,0.18,0,free meals,11,11,0.95,0.74,2.33,4,3
357,Wendys,0,NJ,Northern NJ,0,1,4.5,20,3,5,16,0.2,0,100,free meals,10.5,11.5,0.95,0.86,0.95,2,2,phone,completed,12/25/74,NA,21,6,3,5.25,13,0.25,0,free meals,10.5,12.5,1,0.84,2.35,2,2
433,Burger King,0,PA,Southeastern PA,0,0,10,30,4,4.25,13,0.15,0,75,reduced price meals,7,16,0.95,0.73,0.8,3,3,personal,completed,1/7/07,6,0,42,4,NA,NA,NA,0,reduced price meals,7,16,0.94,0.74,0.74,3,3
13,KFC,0,NJ,Central NJ,0,0,0,25,3,4.5,7,0.25,0,100,reduced price meals,11,10,1.06,0.95,2.66,5,4,phone,completed,1/29/76,1,2,11,3,5,13,0.25,0,free meals,11,11,1.01,0.94,2.75,4,3
381,Burger King,0,NJ,Northern NJ,0,0,10,20,4,5,13,0.5,1,0,reduced price meals,6.5,16.5,1.27,1.17,1.1,4,2,phone,completed,10/21/75,NA,15,15,5,5.05,8,0.47,1,reduced price meals,6.5,16.5,1.37,1.16,1.16,4,2
278,KFC,1,NJ,Southern NJ,0,0,3,4,3,4.25,3,0.25,0,43,reduced price meals,11,10,0.95,0.74,2.19,4,3,phone,completed,12/25/74,NA,0,9,4,5.05,NA,NA,0,free meals,11,11,0.95,0.73,2.32,5,3
516,Roy Rogers,1,PA,Northeastern PA,0,2,6,22.5,3,4.75,13,0.12,0,23,free and reduced price meals,6,16,1.05,0.91,1.05,4,3,phone,completed,10/21/75,NA,2,12,2,4.91,14,0.18,1,reduced price meals,8,14,1.01,0.95,0.89,5,3
402,Roy Rogers,1,NJ,Northern NJ,0,2,11,10,3,4.75,26,0.25,0,20,reduced price meals,6,16,1.12,1.02,1.06,4,2,phone,completed,10/21/75,NA,17,5,2,5.05,26,0.13,0,reduced price meals,7,15,1.11,1.05,1.05,4,1
286,Roy Rogers,1,NJ,Southern NJ,0,4,1,15,3,4.75,13,0.25,0,66,reduced price meals,10,11.5,1.12,NA,0.95,2,1,phone,completed,10/21/75,1,2,15,3,5.05,26,0.18,0,reduced price meals,10,11.5,1.02,1.01,0.94,2,1
407,Wendys,1,NJ,Northern NJ,0,2,5,10,2,5.75,26,0.15,1,0,reduced price meals,11,10.5,1.17,1.17,1.38,1,1,phone,completed,12/25/74,NA,8,7,3,5.5,26,0.15,0,reduced price meals,11,10.5,1.05,1.16,2.32,1,1
305,Roy Rogers,1,NJ,Northern NJ,0,2,0,20,3,4.39,NA,NA,0,NA,reduced price meals,6,17,1.27,1.27,1.06,5,4,phone,completed,1/29/76,1,5,22,4,5.05,2,0.35,0,free meals,6,18,1.37,1.31,1.05,5,4
101,Roy Rogers,0,NJ,Central NJ,1,3,4.5,15,3,4.75,26,0.15,0,80,reduced price meals,7,15,1.2,1.18,1.06,6,4,phone,completed,12/25/74,NA,10,12,3,5.05,26,0.15,0,reduced price meals,7,15,1.15,1.1,1.05,8,3
312,Burger King,0,NJ,Southern NJ,1,3,4,6,3,4.25,10,0.22,0,100,free meals,8,11,1.22,1.06,0.93,3,1,phone,completed,11/20/73,NA,3,2,3,5.05,4,0.25,0,free meals,9,10,1.26,1.05,1.02,3,1
469,Burger King,0,PA,Northeastern PA,0,0,8,27,5,5,39,0.25,0,80,reduced price meals,6,18,0.92,0.72,0.96,3,2,phone,completed,10/21/75,1,7,39,4,4.5,41,0.23,0,reduced price meals,6,18,0.92,0.81,0.87,3,3
273,KFC,1,NJ,Southern NJ,0,0,2,14,4,4.62,13,0.2,0,95,free meals,11,10,0.95,0.74,2.34,4,3,phone,completed,1/29/76,2,2,11,3,5.05,6,0.18,0,free meals,11,10,0.95,0.74,2.32,4,3
123,Burger King,0,NJ,Central NJ,0,0,0,20,5,NA,13,NA,0,28,reduced price meals,7,14.5,1.06,0.95,1.01,2,1,phone,completed,2/28/74,NA,5,25,4,5.05,26,0.15,0,free and reduced price meals,7.5,14,1.05,0.94,1,3,2
254,Wendys,0,NJ,Southern NJ,1,0,20,10,3,NA,16,NA,0,NA,free meals,7,16,1.06,0.86,1.06,2,2,phone,completed,4/4/75,1,28,10,3,5.25,8,0.2,1,free meals,7,15,1,0.85,1.05,2,2
2,Burger King,0,NJ,Central NJ,0,0,10,6,3,4.75,26,0.5,1,80,free meals,7,14,1.06,0.91,0.96,2,2,phone,completed,10/16/72,NA,7.5,10,3,5.25,19,0.38,1,free meals,7,15,1.05,1.01,0.94,2,2
24,Burger King,0,NJ,Central NJ,0,2,15,15,4,4.75,13,0.25,1,40,reduced price meals,7,16,1.06,0.95,1.01,4,3,personal,completed,7/21/04,3,15,20,4,5.05,52,0.15,0,reduced price meals,NA,NA,1.05,0.94,1,4,3
459,Roy Rogers,1,PA,Northeastern PA,0,0,5,20,3,4.25,13,0.37,0,NA,reduced price meals,6,16,1.05,0.9,0.94,5,NA,personal,completed,10/29/04,1,0,20,5,4.35,28,0.15,1,reduced price meals,7,15,1.01,1.01,0.89,4,2
94,KFC,0,NJ,Central NJ,0,2,0,25,5,5,26,0.25,0,0,free and reduced price meals,11,10,1.06,0.8,2.56,NA,NA,phone,completed,9/16/74,NA,2,20,4,5.05,52,0.25,0,free meals,11,10,1.05,0.79,2.53,3,NA
61,Wendys,1,PA,Southeastern PA,0,0,6,26,5,5.5,52,0.15,1,0,free and reduced price meals,10,12,0.87,0.77,1.65,2,2,phone,completed,4/4/75,NA,28,3,6,4.75,13,0.15,0,reduced price meals,10,12,1.01,0.84,0.95,2,2
237,Burger King,0,NJ,Northern NJ,0,2,12,11,4,4.25,13,0.25,0,50,reduced price meals,7,16,1.11,0.95,1.01,2,2,phone,completed,11/20/73,NA,9,17,4,5.05,4,0.2,0,reduced price meals,7,15.5,0.94,0.94,1,2,2
219,KFC,1,NJ,Southern NJ,0,0,3,9,3,4.25,19,0.12,0,50,reduced price meals,11,10,0.91,0.74,2.34,4,3,phone,completed,6/8/74,NA,9,9,2,5.05,26,0.18,0,free meals,10.5,10.5,0.94,0.73,2.53,NA,NA
314,Burger King,0,NJ,Southern NJ,1,8,8,12,3,4.62,4,0.25,0,80,free meals,7,15,1.06,0.95,0.91,3,2,phone,completed,11/20/73,NA,15,6,4,5.25,13,0.15,0,free meals,6,16,1.05,0.74,0.94,3,3
130,Roy Rogers,1,NJ,Central NJ,0,2,7,25.5,3,4.5,19,0.3,0,15,reduced price meals,5,18,1.12,1.07,1,4,3,personal,completed,7/21/04,6,2,38,4,5.05,4,0.15,0,reduced price meals,7,16,1.11,1.06,1.05,5,3
487,Roy Rogers,1,PA,Northeastern PA,0,0,10,6,2,5,13,0.17,1,0,reduced price meals,10,11.5,1.11,0.91,0.95,6,3,phone,completed,6/8/74,NA,6,20,3,4.75,26,0.1,0,reduced price meals,10.5,11,1.05,1.01,0.94,6,1
393,KFC,1,NJ,Northern NJ,0,4,4,10,3,4.62,2,0.25,0,100,reduced price meals,11,11,1.17,1.27,2.77,3,2,phone,completed,1/29/76,3,18,4,3,5.25,13,0.25,1,free meals,11,11,1.16,1.26,2.75,3,2
301,KFC,1,NJ,Northern NJ,0,4,8,12,5,5,11,0.36,1,0,free and reduced price meals,11,10.5,1.06,0.85,2.34,3,1,phone,completed,4/4/75,1,2,7,1,5.05,4,0.5,0,reduced price meals,11,10.5,0.94,0.84,2.32,3,2
5,Roy Rogers,0,NJ,Central NJ,0,0,5,30,4,4.5,13,0.17,0,NA,free meals,6,17,0.95,NA,2.13,5,4,phone,completed,5/8/76,2,10,30,4,5.15,4,0.18,0,reduced price meals,6,17,1.05,0.94,0.94,5,5
