time_at_cal,major,coding_exp_words,coding_exp_scale,cal_fav,piercings,pets_and_sibs,diet,prof_label,study_place,olympics,season,mts_beach,coffee_tea,tech_relationships,climate,crypto,ai,covid,fire_alarm,election,hotdogs,horse_duck,is_artist,is_comp_sci,is_entrepreneur,is_humanist,is_nat_sci,is_other,is_soc_sci
I'm in my second year.,Physics,Some. I've had to write code for one or two classes and am comfortable with it.,7,The people.,5+,1,I eat both plants and animals.,Computational Scientist,East Asian Library,Ice skating,Spring,At the beach,Coffee,3,4,4,2,0.4,1,0.04,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,statistics,Very little. I've just dipped my toe in.,3,NA,1,"1 sibling, 2 pets",I eat both plants and animals.,Computational Scientist,NA,Ice skating,Spring,At the beach,Coffee,6,6,6,6,0.4,0.75,NA,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,Data Science,"A bit. I've used coding in a limited capacity, such as for a small part of a course",5,The air.,2,10,I eat both plants and animals.,Natural Scientist,The Academic Center of Unit 2!,NA,Spring,In the mountains,Tea,2,4,5,8,0,1,0.08,No,Horse-sized duck,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
I'm in my second year.,Intended Film and Media Studies,None.,1,I really love all my friends I have made here.,2,2,I eat both plants and animals.,Other,East Asian Library on the couches on the 4th floor,Ice skating,Fall,At the beach,Tea,5,6,3,5,0.1,0.99,NA,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
I'm in my second year.,Neuroscience + business,None.,1,Clubs and student orgs,0,1 sister,I eat both plants and animals.,Entrepreneur,Apartment,I am not excited to watch the Olympics.,Spring,In the mountains,I don't drink either,4,8,6,7,0.6,1,0.1,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Cognitive Science,Very little. I've just dipped my toe in.,2,My friends and the opportunities,0,1,I eat both plants and animals.,Social Scientist,My dorm,Ice skating,Fall,In the mountains,Coffee,5,5,5,10,0.1,0.3,0.1,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my third year.,Mathematics,None.,1,NA,2,2,I eat both plants and animals.,Other,Hildebrand,Snowboarding,Summer,At the beach,Coffee,1,6,2,6,0.39,1,0.1,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Economics,None.,1,"I like the campus resources and the people. In general, people that I have met have been super friendly and helpful all around.",5+,1 dog and 1 sister,I eat both plants and animals.,Social Scientist,Library,Ice skating,Fall,At the beach,Coffee,8,6,7,5,0.6,1,0.1,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my third year.,Chemical Biology,Some. I've had to write code for one or two classes and am comfortable with it.,7,The boisterous atmosphere and energetic community,0,2,I eat both plants and animals.,Natural Scientist,Moffitt basement,Alpine skiing,Fall,At the beach,Tea,7,9,3,6,0.3,1,0.1,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
I'm in my second year.,Economics,"A bit. I've used coding in a limited capacity, such as for a small part of a course",3,Oski and his dance,2,"0 pets, 1 sibling",I eat both plants and animals.,Humanist,Moffit library,I am not excited to watch the Olympics.,Summer,At the beach,Coffee,1,8,9,5,0.2,0.8,0.06,Yes,Duck-sized horse,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
This is my first semester!,Statistics,Some. I've had to write code for one or two classes and am comfortable with it.,5,The people and weather.,0,1 cat,I eat both plants and animals.,Other,I don't have one yet. I have enjoyed studying outside,Ice skating,Summer,At the beach,Coffee,4,7,3,3,0.55,0.45,0.02,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Economics,Very little. I've just dipped my toe in.,2,The diversity!,5+,1 sibling and 0 pets,I eat both plants and animals.,Social Scientist,Student Union,Ice skating,Fall,In the mountains,I don't drink either,4,6,8,5,0.2,0.4,0.01,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my second year.,Economics,None.,1,The people and the campus :),1,2,I eat both plants and animals.,Social Scientist,The oasis in Eschleman,Ice skating,Summer,At the beach,Tea,6,7,4,6,0.1,0.5,0.08,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my second year.,Econ & Data science,A good deal. I have several years of experience writing code.,8,The rigor,2,2,I eat both plants and animals.,Computational Scientist,Doe,I am not excited to watch the Olympics.,Summer,At the beach,Coffee,7,5,8,5,0.6,0.3,0.7,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,Economics,None.,1,The learning opportunity here opens chances for me in the real-world. I'm blessed to be here. I love everything from all my heart.,0,7 siblings and had 1 monkey as a pet,I eat both plants and animals.,Social Scientist,Moffit,Ice skating,Winter,At the beach,Coffee,5,5,7,7,0,0.5,NA,Yes,Horse-sized duck,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my second year.,Economics,"A bit. I've used coding in a limited capacity, such as for a small part of a course",6,The people,0,1,I eat both plants and animals.,Entrepreneur,Moffitt,Alpine skiing,Summer,At the beach,Tea,5,6,3,6,0.7,0.5,0.02,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Statistics,"A bit. I've used coding in a limited capacity, such as for a small part of a course",6,Nice campus,0,2,I eat both plants and animals.,Artist,My apartment,I am not excited to watch the Olympics.,Winter,At the beach,Tea,2,6,4,8,NA,NA,NA,No,Duck-sized horse,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Environmental Economics and Policy,Very little. I've just dipped my toe in.,1,I love the free spirit vibe..,2,3,I eat mostly plants.,Entrepreneur,None,I am not excited to watch the Olympics.,Summer,In the mountains,I don't drink either,5,10,8,8,0.01,0.5,0.1,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Business Administration,Very little. I've just dipped my toe in.,3,"All of the people within my major are some of the most ambitious business people I have ever met. The amount of innovation that happens here is unrivaled by any other university, and choosing the right people to surround yourself can propel yourself to the next level. As a result, I love that Cal is able to put innovative students together and create amazing things.",0,I have 1 sister,I eat both plants and animals.,Entrepreneur,Long Business Library at Haas,I am not excited to watch the Olympics.,Fall,At the beach,Coffee,6,6,5,4,0.2,0.465,0.02,No,Horse-sized duck,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,Molecular Environmental Biology,"A bit. I've used coding in a limited capacity, such as for a small part of a course",6,The communities,5+,3,I eat both plants and animals.,Natural Scientist,Doe,I am not excited to watch the Olympics.,Fall,At the beach,Coffee,6,6,4,4,0.3,0.99,0.03,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
I'm in my second year.,Applied Mathematics,Very little. I've just dipped my toe in.,2,The plethora of opportunities it offers and the ability to talk to people with similar interests.,0,2 pets and 2 siblings,I eat both plants and animals.,Entrepreneur,Moffitt,Snowboarding,Winter,At the beach,Tea,4,7,3,4,0.35,0.75,0.06,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,My intended majors at this point are economics and psychology.,Very little. I've just dipped my toe in.,3,My favorite thing about Cal is the environment. I love the view of the Bay area.,2,I don't have any siblings and pets.,I eat both plants and animals.,Computational Scientist,Moffitt Library,Ice skating,Fall,At the beach,Coffee,3,4,8,7,0.15,0.5,NA,Yes,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Integrative Bio,None.,1,NA,0,2,I eat mostly plants.,Natural Scientist,NA,I am not excited to watch the Olympics.,Fall,In the mountains,Coffee,NA,4,2,7,NA,0.6,NA,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
I'm in my second year.,Economics,None.,1,This is my first time on the campus and I'm new to everything. I hope to find out by end of this semester!,5+,one,I eat both plants and animals.,Entrepreneur,Moffitt 1st floor,Curling,Fall,At the beach,Coffee,4,7,9,8,0.5,0.5,0.05,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,"Economics, psychology",Very little. I've just dipped my toe in.,2,I love the weather here in berkeley and meeting nice people.,2,1 sister,I eat both plants and animals.,Other,Doe library,Speed skating,Fall,At the beach,Tea,8,8,7,4,0.3,0.2,NA,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Environmental science,None.,1,The trees and bridges,3,"5 pets, 1 sibling",I eat mostly plants.,Natural Scientist,Haven’t studied on campus yet,Bobsled/Luge/Skeleton,Fall,In the mountains,Tea,3,3,2,7,0.3,0.8,0.03,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
I'm in my second year.,Economic,None.,1,"The campus, I like walking around the campus sometimes and also there so much events in cal",1,3 siblings,I eat both plants and animals.,Other,My own room,Ice skating,Winter,In the mountains,I don't drink either,5,5,5,8,0.15,0.02,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
I'm in my second year.,Econ,Very little. I've just dipped my toe in.,3,My favorite thing about Cal is how big the campus and student body is.,2,3 pets and 3 siblings,I eat both plants and animals.,Entrepreneur,Stanley Hall,Ice skating,Fall,At the beach,I don't drink either,4,5,5,5,0.5,0.9,NA,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Molecular/Cell Biology & Business Administration,Very little. I've just dipped my toe in.,2,Oski,0,2,I eat both plants and animals.,Entrepreneur,Moffit 5th Floor,Bobsled/Luge/Skeleton,Summer,At the beach,I don't drink either,4,7,3,4,0.35,0.4,0.02,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,Applied Mathematics,Some. I've had to write code for one or two classes and am comfortable with it.,7,Oski,0,1 younger brother,I eat both plants and animals.,Computational Scientist,Wurster Hall,Snowboarding,Winter,At the beach,Tea,5,5,3,1,1,0.5,0.4,Yes,Horse-sized duck,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Environmental Econ,Very little. I've just dipped my toe in.,3,The diversity and the protests.,0,0,I eat both plants and animals.,Entrepreneur,Main stacks or Soda hall,Curling,Winter,At the beach,Coffee,2,9,10,6,0.15,0.23,0.06,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Environmental Science,None.,1,I enjoy the campus itself and all the nice greenery by Strawberry Creek.,0,2,I eat mostly plants.,Natural Scientist,The VLSB courtyard,Ice skating,Spring,In the mountains,Tea,9,1,1,6,0.25,0.4,0.07,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
I'm in my third year.,Statistics,"A bit. I've used coding in a limited capacity, such as for a small part of a course",6,The faculty,0,3,I eat both plants and animals.,Humanist,Moffit,Snowboarding,Summer,At the beach,Tea,10,5,5,9,0.66,0.5,0.02,No,Duck-sized horse,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
I'm in my second year.,Applied Math and Economics,Very little. I've just dipped my toe in.,2,The people!,0,0,I eat both plants and animals.,Computational Scientist,East Asian Library,Ice skating,Fall,In the mountains,Tea,5,7,7,7,0.37,0.83,0.02,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,None.,1,integrals,0,2,I eat both plants and animals.,Entrepreneur,Dorm,Snowboarding,Winter,In the mountains,Tea,5,6,7,9,0.6,0.2,0.03,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Economics,None.,1,"My favorite thing about Cal is the amount of welcoming people, immense opportunities one can gain, and the athletic culture.",0,1 pet + 2 siblings,I eat both plants and animals.,Entrepreneur,"Unsure, haven't gotten to do much of that yet!",Snowboarding,Summer,At the beach,Tea,6,6,4,9,0.1,0.7,0.15,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,Public Health,"A bit. I've used coding in a limited capacity, such as for a small part of a course",5,The people,5+,2,I eat both plants and animals.,Natural Scientist,Moffitt or cafes,Snowboarding,Fall,At the beach,I don't drink either,5,7,6,7,0.2,0.7,0.3,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
I'm in my second year.,Finance/Economics,None.,1,The School spirit and amazing professors.,0,5,I eat both plants and animals.,Entrepreneur,Library,I am not excited to watch the Olympics.,Summer,At the beach,Coffee,5,4,3,8,0.3,0.1,NA,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,NA,None.,1,NA,4,3,I eat both plants and animals.,Entrepreneur,NA,Ice skating,Winter,In the mountains,Tea,3,NA,NA,NA,0.66,1,NA,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,Molecular and Cell Biology,None.,1,I like the working communities and culture.,0,1 sibling,I eat both plants and animals.,Natural Scientist,Moffitt Library,Snowboarding,Summer,In the mountains,Tea,6,7,5,5,0.2,0.1,0.04,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
I'm in my third year.,econmomics,"A bit. I've used coding in a limited capacity, such as for a small part of a course",6,everything,0,0,I eat both plants and animals.,Other,east asian library,I am not excited to watch the Olympics.,NA,In the mountains,Tea,7,7,5,5,0.1,1,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
I'm in my third year.,Economics and Biology,"A bit. I've used coding in a limited capacity, such as for a small part of a course",4,The friends I have made,4,1,I eat only plants.,Social Scientist,Cafe Think,Ice skating,Summer,At the beach,Tea,4,5,4,6,0,0.78,0.01,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
This is my first semester!,Applied Math,Some. I've had to write code for one or two classes and am comfortable with it.,7,The academic rigor,4,"2 siblings, 6 pets",I eat both plants and animals.,Computational Scientist,Not sure yet,Ice skating,Fall,At the beach,Coffee,4,5,7,4,0.15,0.85,0.02,Yes,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,"Statistics, intended Economics double major",Some. I've had to write code for one or two classes and am comfortable with it.,5,Community.,2,6,I eat both plants and animals.,Computational Scientist,Main Stacks,Bobsled/Luge/Skeleton,Winter,At the beach,Tea,5,7,5,5,0.2,0.4,0.07,Yes,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Economics and Cognitive Science,None.,1,My friends,0,1 sister,I eat both plants and animals.,Artist,Main Stacks,Ice skating,Summer,In the mountains,Tea,4,6,8,6,0.5,0.1,0.01,No,Duck-sized horse,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,eep,Very little. I've just dipped my toe in.,2,new things,1,0,I eat both plants and animals.,Natural Scientist,library,Speed skating,Fall,At the beach,Coffee,1,9,5,5,0.5,0.5,0.05,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
I'm in my second year.,Economics and Data Science,Very little. I've just dipped my toe in.,3,The campus,0,1 younger sister,I eat both plants and animals.,Artist,Morrison Library,Snowboarding,Summer,In the mountains,I don't drink either,7,6,7,7,0.1,0.6,NA,Yes,Duck-sized horse,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Economics,None.,1,the education!,4,1 pet & 1 sibling,I eat both plants and animals.,Other,Music library,Ice skating,Summer,At the beach,Tea,7,7,7,7,0.4,0.6,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
This is my first semester!,Computer science,A good deal. I have several years of experience writing code.,7,Community,2,2,I eat both plants and animals.,Computational Scientist,Morrison library,I am not excited to watch the Olympics.,Spring,In the mountains,Tea,5,4,3,1,0.00001,0.8,NA,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,media studies and film & media,None.,1,I like the drive and determination that everyone has here.,5+,"4 sisters, 2 dogs",I eat both plants and animals.,Other,Free Speech Movement Cafe,Ice skating,Fall,In the mountains,Coffee,3,8,3,5,0,0.8,0.03,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
I'm in my second year.,Economics,None.,1,The food,5+,1 dog 2 brothers,I eat both plants and animals.,Humanist,Café Zeb,Bobsled/Luge/Skeleton,Summer,In the mountains,Coffee,8,3,7,10,0.2,0.7,0.05,No,Duck-sized horse,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE
I'm in my second year.,Economics and Data Science,Some. I've had to write code for one or two classes and am comfortable with it.,6,The community,0,1 dog and 1 younger brother,I eat both plants and animals.,Entrepreneur,"The Chemistry, Astronomy & Physics Library",Curling,Winter,In the mountains,Tea,3,5,8,6,0.01,0.3,0.02,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Public Health,None.,1,The people!,0,0,I eat both plants and animals.,Entrepreneur,Doe library,I am not excited to watch the Olympics.,Summer,At the beach,Tea,8,8,3,4,0.3,0.9,NA,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Intending MCB,Some. I've had to write code for one or two classes and am comfortable with it.,5,The diversity of thought,3,1 younger brother,I eat only plants.,Computational Scientist,My dorm,Ice skating,Fall,At the beach,Tea,4,6,4,6,0.36,0.4,0.04,Yes,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Molecular Cell Biology,None.,1,I love how there is freedom to explore a variety of fields and interdisciplinary topics so long as they interest you.,2,1,I eat both plants and animals.,Natural Scientist,East Asian Library,Snowboarding,Winter,In the mountains,Tea,6,4,5,6,0.4,0.63,NA,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
I'm in my second year.,Berkeley M.E.T.: Electrical Engineering Computer Science & Business Administration,A good deal. I have several years of experience writing code.,8,Berkeley Business Society,0,1,I eat only plants.,Computational Scientist,Apartment 204 at The Den,Snowboarding,Spring,At the beach,I don't drink either,4,2,3,3,0.9,0.25,NA,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,Environmental Sciences,"A bit. I've used coding in a limited capacity, such as for a small part of a course",4,Its commitment to diversity and supporting minority groups.,1,0,I eat mostly plants.,Natural Scientist,Anywhere in CNR,Ice skating,Summer,At the beach,Tea,3,7,6,6,0.5,1,0.1,Yes,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,FALSE
I'm in my second year.,Economics,Very little. I've just dipped my toe in.,7,Sitting on the glade when the sun's out,3,None,I eat both plants and animals.,Other,Moffitt 4th floor,Snowboarding,Spring,At the beach,Tea,10,5,7,5,0.3,0.673,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
I'm in my second year.,Economics,None.,1,The campus and my friends.,4,"1 sibling, 1 pet",I eat both plants and animals.,Social Scientist,East Asian Library,Ice skating,Summer,At the beach,Tea,6,4,4,8,0.5,0.9,0.03,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my second year.,Molecular & Cell Biology,"A bit. I've used coding in a limited capacity, such as for a small part of a course",4,I like the vibe of the school,0,1 brother,I eat both plants and animals.,Entrepreneur,Free Speech Movement Cafe,Snowboarding,Summer,At the beach,Tea,6,10,7,9,0.46,1,0.12,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,orms/pre-haas,Some. I've had to write code for one or two classes and am comfortable with it.,6,I like that it’s a big school,4,"3 pets, 1 siblings",I eat only plants.,Entrepreneur,Doe,Ice skating,Winter,In the mountains,I don't drink either,4,7,5,6,0.08,0.12,0.09,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Intended Haas,None.,1,My favorite thing is going to the sports games.,4,I have no pets and 3 sisters,I eat both plants and animals.,Entrepreneur,I love moffit,Ice skating,Fall,At the beach,Coffee,7,5,7,10,0.3,1,0.4,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
This is my first semester!,Business Administration,None.,1,The people,0,1,I eat both plants and animals.,Entrepreneur,Moffitt,Snowboarding,Fall,At the beach,Tea,5,5,5,6,0.05,0.85,0.02,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Economic,Some. I've had to write code for one or two classes and am comfortable with it.,6,"My favorite thing about Cal is the available resources to support students like office hours, SLC.",2,2,I eat both plants and animals.,Social Scientist,moffit,Speed skating,Spring,At the beach,Tea,6,8,7,9,0.4,0.8,NA,No,Horse-sized duck,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
This is my first semester!,Economics,None.,1,"That Cal will soon introduce me to a world of novelty, that is to say a mysterious set of opportunities that are as cloudy as they are bright and promising!",0,0 + 2!,I eat both plants and animals.,Other,"So far, I'd say its the Doe Library",Snowboarding,Summer,At the beach,Tea,7,8,9,10,0.0091,0.66,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
I'm in my second year.,Haas,Very little. I've just dipped my toe in.,1,Its people!,2,2,I eat both plants and animals.,Entrepreneur,Environmental Design Library,Speed skating,Winter,At the beach,Tea,5,5,1,5,0.6,0.7,0.02,No,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,I am currently undeclared. I am pre-haas.,None.,1,I like how everyone is so open to new things.,2,0,I eat both plants and animals.,Other,I enjoy studying at moffit.,Ice skating,Winter,At the beach,Tea,4,6,6,8,0.2,0.4,NA,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE
I'm in my second year.,Economics,"A bit. I've used coding in a limited capacity, such as for a small part of a course",4,Cal Band! I play the trumpet :D,2,2 (1 Dog + 1 Older Sister),I eat both plants and animals.,Artist,Moffit Library,Ice skating,Fall,At the beach,Tea,3,8,8,9,0.05,0.2,NA,No,Duck-sized horse,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE
I'm in my second year.,Economics and Philosophy,None.,1,There is always something to do,1,4,I eat both plants and animals.,Social Scientist,International House,Alpine skiing,Summer,In the mountains,Tea,3,7,6,6,0.2,0.001,0.06,No,Duck-sized horse,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE
I'm in my first year.,Economics,Very little. I've just dipped my toe in.,5,The fact that everyone has a unique ability here,0,1,I eat both plants and animals.,Entrepreneur,Doe Library,I am not excited to watch the Olympics.,Summer,At the beach,Coffee,8,1,4,8,0.2,0.4,NA,Yes,Duck-sized horse,FALSE,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE
I'm in my third year.,Computer Science and Economics,A good deal. I have several years of experience writing code.,9,The people,5+,1,I eat only plants.,Computational Scientist,Moffitt,Bobsled/Luge/Skeleton,Summer,In the mountains,I don't drink either,7,7,6,5,0.2,0.3,0.01,No,Duck-sized horse,FALSE,TRUE,FALSE,FALSE,FALSE,FALSE,FALSE
